,Director,Actor,Frequency
312,Paul Feig,Kate McKinnon,1
313,Paul Feig,Leslie Jones,1
314,Christopher Nolan,Leonardo DiCaprio,1
315,Christopher Nolan,Joseph Gordon-Levitt,1
316,Christopher Nolan,Ellen Page,1
317,Christopher Nolan,Ken Watanabe,1
318,Matt Ross,Viggo Mortensen,1
319,Matt Ross,George MacKay,1
320,Matt Ross,Samantha Isler,1
321,Matt Ross,Annalise Basso,1
322,Martin Scorsese,Leonardo DiCaprio,3
323,Martin Scorsese,Jonah Hill,1
324,Martin Scorsese,Margot Robbie,1
325,Martin Scorsese,Matthew McConaughey,1
326,David Fincher,Ben Affleck,1
327,David Fincher,Rosamund Pike,1
328,David Fincher,Neil Patrick Harris,1
329,David Fincher,Tyler Perry,1
330,James Wan,Vin Diesel,1
331,James Wan,Paul Walker,1
332,James Wan,Dwayne Johnson,1
333,James Wan,Jason Statham,1
334,Colin Trevorrow,Chris Pratt,1
335,Colin Trevorrow,Bryce Dallas Howard,1
336,Colin Trevorrow,Ty Simpkins,1
337,Colin Trevorrow,Judy Greer,1
338,Ben Affleck,Ben Affleck,3
339,Ben Affleck,Elle Fanning,1
340,Ben Affleck,Brendan Gleeson,1
341,Ben Affleck,Chris Messina,1
342,James Cameron,Sam Worthington,1
343,James Cameron,Zoe Saldana,1
344,James Cameron,Sigourney Weaver,1
345,James Cameron,Michelle Rodriguez,1
346,Quentin Tarantino,Samuel L. Jackson,1
347,Quentin Tarantino,Kurt Russell,2
348,Quentin Tarantino,Jennifer Jason Leigh,1
349,Quentin Tarantino,Walton Goggins,1
350,Gavin O'Connor,Ben Affleck,1
351,Gavin O'Connor,Anna Kendrick,1
352,Gavin O'Connor,J.K. Simmons,1
353,Gavin O'Connor,Jon Bernthal,1
354,Denis Villeneuve,Hugh Jackman,1
355,Denis Villeneuve,Jake Gyllenhaal,2
356,Denis Villeneuve,Viola Davis,1
357,Denis Villeneuve,Melissa Leo,1
358,Duncan Jones,Travis Fimmel,1
359,Duncan Jones,Paula Patton,1
360,Duncan Jones,Ben Foster,1
361,Duncan Jones,Dominic Cooper,1
362,Tate Taylor,Emma Stone,1
363,Tate Taylor,Viola Davis,1
364,Tate Taylor,Octavia Spencer,1
365,Tate Taylor,Bryce Dallas Howard,1
366,Todd Phillips,Jonah Hill,1
367,Todd Phillips,Miles Teller,1
368,Todd Phillips,Steve Lantz,1
369,Todd Phillips,Gregg Weiner,1
370,Joss Whedon,Mark Ruffalo,1
371,Joss Whedon,Chris Hemsworth,1
372,Shane Black,Russell Crowe,1
373,Shane Black,Ryan Gosling,1
374,Shane Black,Angourie Rice,1
375,Shane Black,Matt Bomer,1
376,Makoto Shinkai,Ryûnosuke Kamiki,1
377,Makoto Shinkai,Mone Kamishiraishi,1
378,Makoto Shinkai,Ryô Narita,1
379,Makoto Shinkai,Aoi Yuki,1
380,Jeremy Gillespie,Aaron Poole,1
381,Jeremy Gillespie,Kenneth Welsh,1
382,Jeremy Gillespie,Daniel Fathers,1
383,Jeremy Gillespie,Kathleen Munroe,1
384,Olivier Assayas,Kristen Stewart,1
385,Olivier Assayas,Lars Eidinger,1
386,Olivier Assayas,Sigrid Bouaziz,1
387,Olivier Assayas,Anders Danielsen Lie,1
388,Martin Scorsese,Matt Damon,1
389,Martin Scorsese,Jack Nicholson,1
390,Martin Scorsese,Mark Wahlberg,1
391,Brian Helgeland,Tom Hardy,1
392,Brian Helgeland,Emily Browning,1
393,Brian Helgeland,Taron Egerton,1
394,Brian Helgeland,Paul Anderson,1
395,Kenneth Branagh,Chris Hemsworth,1
396,Kenneth Branagh,Anthony Hopkins,1
397,Kenneth Branagh,Natalie Portman,1
398,Kenneth Branagh,Tom Hiddleston,1
399,Ridley Scott,Matt Damon,1
400,Ridley Scott,Jessica Chastain,1
401,Ridley Scott,Kristen Wiig,1
402,Ridley Scott,Kate Mara,1
403,Oriol Paulo,Mario Casas,1
404,Oriol Paulo,Ana Wagener,1
405,Oriol Paulo,José Coronado,1
406,Oriol Paulo,Bárbara Lennie,1
407,Guy Ritchie,Henry Cavill,1
408,Guy Ritchie,Armie Hammer,1
409,Guy Ritchie,Alicia Vikander,1
410,Guy Ritchie,Elizabeth Debicki,1
411,David Mackenzie,Chris Pine,1
412,David Mackenzie,Ben Foster,1
413,David Mackenzie,Jeff Bridges,1
414,David Mackenzie,Gil Birmingham,1
415,Taylor Hackford,Robert De Niro,1
416,Taylor Hackford,Leslie Mann,1
417,Taylor Hackford,Danny DeVito,1
418,Taylor Hackford,Edie Falco,1
419,David Yates,Alexander Skarsgård,1
420,David Yates,Rory J. Saper,1
421,David Yates,Christian Stevens,1
422,David Yates,Christoph Waltz,1
423,Katie Holmes,Eve Lindley,1
424,Katie Holmes,Richard Kind,1
425,Katie Holmes,Mark Consuelos,1
426,Katie Holmes,Katherine Reis,1
427,Alex Garland,Alicia Vikander,1
428,Alex Garland,Domhnall Gleeson,1
429,Alex Garland,Oscar Isaac,1
430,Alex Garland,Sonoya Mizuno,1
431,Greg McLean,John Gallagher Jr.,1
432,Greg McLean,Tony Goldwyn,1
433,Greg McLean,Adria Arjona,1
434,Greg McLean,John C. McGinley,1
435,Steve McQueen,Chiwetel Ejiofor,1
436,Steve McQueen,Michael Kenneth Williams,1
437,Steve McQueen,Michael Fassbender,2
438,Steve McQueen,Brad Pitt,1
439,Ana Lily Amirpour,Keanu Reeves,1
440,Ana Lily Amirpour,Jason Momoa,1
441,Ana Lily Amirpour,Jim Carrey,1
442,Ana Lily Amirpour,Diego Luna,1
443,Zack Snyder,Gerard Butler,1
444,Zack Snyder,Lena Headey,1
445,Zack Snyder,David Wenham,1
446,Zack Snyder,Dominic West,1
447,David Yates,Daniel Radcliffe,4
448,David Yates,Emma Watson,4
449,David Yates,Rupert Grint,4
450,David Yates,Michael Gambon,2
451,Josh Gordon,Jason Bateman,1
452,Josh Gordon,Olivia Munn,1
453,Josh Gordon,T.J. Miller,1
454,Josh Gordon,Jennifer Aniston,1
455,Nicolas Winding Refn,Elle Fanning,1
456,Nicolas Winding Refn,Christina Hendricks,1
457,Nicolas Winding Refn,Keanu Reeves,1
458,Nicolas Winding Refn,Karl Glusman,1
