,Director,Actor,Frequency
651,Jon M. Chu,Mark Ruffalo,1
652,Jon M. Chu,Woody Harrelson,1
653,Jon M. Chu,Dave Franco,1
654,Simon Curtis,Helen Mirren,1
655,Simon Curtis,Ryan Reynolds,1
656,Simon Curtis,Daniel Brühl,1
657,Simon Curtis,Katie Holmes,1
658,Michael Bay,John Krasinski,1
659,Michael Bay,Pablo Schreiber,1
660,Michael Bay,James Badge Dale,1
661,Michael Bay,David Denman,1
662,Sam Mendes,Daniel Craig,2
663,Sam Mendes,Christoph Waltz,1
664,Sam Mendes,Léa Seydoux,1
665,Sam Mendes,Ralph Fiennes,1
666,Dan Gilroy,Jake Gyllenhaal,1
667,Dan Gilroy,Rene Russo,1
668,Dan Gilroy,Bill Paxton,1
669,Dan Gilroy,Riz Ahmed,1
670,Travis Knight,Charlize Theron,1
671,Travis Knight,Art Parkinson,1
672,Travis Knight,Matthew McConaughey,1
673,Travis Knight,Ralph Fiennes,1
674,Jackson Stewart,Graham Skipper,1
675,Jackson Stewart,Chase Williamson,1
676,Jackson Stewart,Brea Grant,1
677,Jackson Stewart,Barbara Crampton,1
678,Spike Jonze,Joaquin Phoenix,1
679,Spike Jonze,Amy Adams,1
680,Spike Jonze,Scarlett Johansson,1
681,Spike Jonze,Rooney Mara,1
682,Chris Buck,Kristen Bell,1
683,Chris Buck,Idina Menzel,1
684,Chris Buck,Jonathan Groff,1
685,Chris Buck,Josh Gad,1
686,Brad Bird,George Clooney,1
687,Brad Bird,Britt Robertson,1
688,Brad Bird,Hugh Laurie,1
689,Brad Bird,Raffey Cassidy,1
690,Matt Reeves,Gary Oldman,1
691,Matt Reeves,Keri Russell,1
692,Matt Reeves,Andy Serkis,1
693,Matt Reeves,Kodi Smit-McPhee,2
694,Ben Stiller,Ben Stiller,3
695,Ben Stiller,Jack Black,1
696,Ben Stiller,Robert Downey Jr.,1
697,Ben Stiller,Jeff Kahn,1
698,James Wan,Vera Farmiga,2
699,James Wan,Patrick Wilson,3
700,James Wan,Madison Wolfe,1
701,James Wan,Frances O'Connor,1
702,Peyton Reed,Paul Rudd,1
703,Peyton Reed,Michael Douglas,1
704,Peyton Reed,Corey Stoll,1
705,Peyton Reed,Evangeline Lilly,1
706,Sharon Maguire,Renée Zellweger,1
707,Sharon Maguire,Gemma Jones,1
708,Sharon Maguire,Jim Broadbent,1
709,Sharon Maguire,Sally Phillips,1
710,Robert Eggers,Anya Taylor-Joy,1
711,Robert Eggers,Ralph Ineson,1
712,Robert Eggers,Kate Dickie,1
713,Robert Eggers,Julian Richings,1
714,Kenneth Branagh,Lily James,1
715,Kenneth Branagh,Cate Blanchett,1
716,Kenneth Branagh,Richard Madden,1
717,Kenneth Branagh,Helena Bonham Carter,1
718,Mateo Gil,Tom Hughes,1
719,Mateo Gil,Charlotte Le Bon,1
720,Mateo Gil,Oona Chaplin,1
721,Mateo Gil,Barry Ward,1
722,Asghar Farhadi,Taraneh Alidoosti,1
723,Asghar Farhadi,Shahab Hosseini,1
724,Asghar Farhadi,Babak Karimi,1
725,Asghar Farhadi,Farid Sajjadi Hosseini,1
726,Gaspar Noé,Aomi Muyock,1
727,Gaspar Noé,Karl Glusman,1
728,Gaspar Noé,Klara Kristin,1
729,Gaspar Noé,Juan Saavedra,1
730,Ang Lee,Joe Alwyn,1
731,Ang Lee,Garrett Hedlund,1
732,Ang Lee,Arturo Castro,1
733,Ang Lee,Mason Lee,1
734,Guillermo del Toro,Mia Wasikowska,1
735,Guillermo del Toro,Jessica Chastain,1
736,Guillermo del Toro,Tom Hiddleston,1
737,Nicolas Winding Refn,Ryan Gosling,1
738,Nicolas Winding Refn,Carey Mulligan,1
739,Nicolas Winding Refn,Bryan Cranston,1
740,Nicolas Winding Refn,Albert Brooks,1
741,Judd Apatow,Amy Schumer,1
742,Judd Apatow,Bill Hader,1
743,Judd Apatow,Brie Larson,1
744,Judd Apatow,Colin Quinn,1
745,Derek Cianfrance,Michael Fassbender,1
746,Derek Cianfrance,Alicia Vikander,1
747,Derek Cianfrance,Rachel Weisz,1
748,Derek Cianfrance,Florence Clery,1
749,April Mullen,Erika Linder,1
750,April Mullen,Natalie Krill,1
751,April Mullen,Sebastian Pigott,1
752,April Mullen,Mayko Nguyen,1
753,Tom McCarthy,Mark Ruffalo,1
754,Tom McCarthy,Michael Keaton,1
755,Tom McCarthy,Rachel McAdams,1
756,Tom McCarthy,Liev Schreiber,1
757,Luke Scott,Kate Mara,1
758,Luke Scott,Anya Taylor-Joy,1
759,Luke Scott,Rose Leslie,1
760,Luke Scott,Michael Yare,1
761,Gavin O'Connor,Tom Hardy,1
762,Gavin O'Connor,Nick Nolte,1
763,Gavin O'Connor,Joel Edgerton,1
764,Gavin O'Connor,Jennifer Morrison,1
765,Joe Johnston,Chris Evans,1
766,Joe Johnston,Hugo Weaving,1
767,Joe Johnston,Samuel L. Jackson,1
768,Joe Johnston,Hayley Atwell,1
769,Akan Satayev,Callan McAuliffe,1
770,Akan Satayev,Lorraine Nicholson,1
771,Akan Satayev,Daniel Eric Gold,1
772,Akan Satayev,Clifton Collins Jr.,1
773,Sean Penn,Emile Hirsch,1
774,Sean Penn,Vince Vaughn,1
775,Sean Penn,Catherine Keener,1
776,Sean Penn,Marcia Gay Harden,1
777,Morten Tyldum,Benedict Cumberbatch,1
778,Morten Tyldum,Keira Knightley,1
779,Morten Tyldum,Matthew Goode,1
780,Morten Tyldum,Allen Leech,1
781,Rawson Marshall Thurber,Dwayne Johnson,1
782,Rawson Marshall Thurber,Kevin Hart,1
783,Rawson Marshall Thurber,Danielle Nicolet,1
784,Rawson Marshall Thurber,Amy Ryan,1
785,Doug Liman,Tom Cruise,1
786,Doug Liman,Emily Blunt,1
787,Doug Liman,Bill Paxton,1
788,Doug Liman,Brendan Gleeson,1
789,Gore Verbinski,Dane DeHaan,1
790,Gore Verbinski,Jason Isaacs,1
791,Gore Verbinski,Mia Goth,1
792,Gore Verbinski,Ivo Nandi,1
793,Oliver Stone,Joseph Gordon-Levitt,1
794,Oliver Stone,Shailene Woodley,1
795,Oliver Stone,Melissa Leo,1
796,Oliver Stone,Zachary Quinto,1
797,Jon Favreau,Robert Downey Jr.,3
798,Jon Favreau,Gwyneth Paltrow,2
799,Jon Favreau,Terrence Howard,1
800,Jon Favreau,Jeff Bridges,1
801,Robert Schwentke,Shailene Woodley,2
802,Robert Schwentke,Theo James,2
803,Robert Schwentke,Jeff Daniels,1
804,Robert Schwentke,Naomi Watts,1
805,Matthew Vaughn,James McAvoy,1
806,Matthew Vaughn,Michael Fassbender,1
807,Matthew Vaughn,Jennifer Lawrence,1
808,Matthew Vaughn,Kevin Bacon,1
809,Julia Ducournau,Garance Marillier,1
810,Julia Ducournau,Ella Rumpf,1
811,Julia Ducournau,Rabah Nait Oufella,1
812,Julia Ducournau,Laurent Lucas,1
813,Jim Jarmusch,Adam Driver,1
814,Jim Jarmusch,Golshifteh Farahani,1
815,Jim Jarmusch,Nellie,1
816,Jim Jarmusch,Rizwan Manji,1
817,Paul Feig,Maya Rudolph,1
818,Paul Feig,Rose Byrne,2
819,Paul Feig,Terry Crews,1
820,Colm McCarthy,Gemma Arterton,1
821,Colm McCarthy,Glenn Close,1
822,Colm McCarthy,Dominique Tipper,1
823,Colm McCarthy,Paddy Considine,1
824,Brad Peyton,Dwayne Johnson,1
825,Brad Peyton,Carla Gugino,1
826,Brad Peyton,Alexandra Daddario,1
827,Brad Peyton,Colton Haynes,1
828,Harmony Korine,Vanessa Hudgens,1
829,Harmony Korine,Selena Gomez,1
830,Harmony Korine,Ashley Benson,1
831,Harmony Korine,Rachel Korine,1
832,Michael Bay,Shia LaBeouf,3
833,Michael Bay,Megan Fox,2
834,Michael Bay,Josh Duhamel,3
835,Michael Bay,Tyrese Gibson,3
836,Spike Lee,Josh Brolin,1
837,Spike Lee,Elizabeth Olsen,1
838,Spike Lee,Samuel L. Jackson,1
839,Spike Lee,Sharlto Copley,1
840,Alan Taylor,Chris Hemsworth,1
841,Alan Taylor,Natalie Portman,1
842,Alan Taylor,Tom Hiddleston,1
843,Alan Taylor,Stellan Skarsgård,1
844,Alex Proyas,Brenton Thwaites,1
845,Alex Proyas,Nikolaj Coster-Waldau,1
846,Alex Proyas,Gerard Butler,1
847,Alex Proyas,Chadwick Boseman,1
848,Anthony Russo,Samuel L. Jackson,1
849,Anthony Russo,Robert Redford,1
850,Chris Wedge,Lucas Till,1
851,Chris Wedge,Jane Levy,1
852,Chris Wedge,Thomas Lennon,1
853,Chris Wedge,Barry Pepper,1
854,Liam Gavin,Mark Huberman,1
855,Liam Gavin,Susan Loughnane,1
856,Liam Gavin,Steve Oram,1
857,Liam Gavin,Catherine Walker,1
858,Matthew Vaughn,Aaron Taylor-Johnson,1
859,Matthew Vaughn,Nicolas Cage,1
860,Matthew Vaughn,Chloë Grace Moretz,1
861,Matthew Vaughn,Garrett M. Brown,1
862,Ilya Naishuller,Sharlto Copley,1
863,Ilya Naishuller,Tim Roth,1
864,Ilya Naishuller,Haley Bennett,1
865,Ilya Naishuller,Danila Kozlovsky,1
866,John Lasseter,Owen Wilson,2
867,John Lasseter,Bonnie Hunt,1
868,John Lasseter,Paul Newman,1
869,John Lasseter,Larry the Cable Guy,2
870,David Robert Mitchell,Maika Monroe,1
871,David Robert Mitchell,Keir Gilchrist,1
872,David Robert Mitchell,Olivia Luccardi,1
873,David Robert Mitchell,Lili Sepe,1
874,David Fincher,Daniel Craig,1
875,David Fincher,Rooney Mara,2
876,David Fincher,Christopher Plummer,1
877,David Fincher,Stellan Skarsgård,1
878,Rawson Marshall Thurber,Jason Sudeikis,1
879,Rawson Marshall Thurber,Jennifer Aniston,1
880,Rawson Marshall Thurber,Emma Roberts,1
881,Rawson Marshall Thurber,Ed Helms,1
882,Andrea Arnold,Sasha Lane,1
883,Andrea Arnold,Shia LaBeouf,1
884,Andrea Arnold,Riley Keough,1
885,Andrea Arnold,McCaul Lombardi,1
886,Yorgos Lanthimos,Colin Farrell,1
887,Yorgos Lanthimos,Rachel Weisz,1
888,Yorgos Lanthimos,Jessica Barden,1
889,Yorgos Lanthimos,Olivia Colman,1
890,Nimród Antal,Adrien Brody,1
891,Nimród Antal,Laurence Fishburne,1
892,Nimród Antal,Topher Grace,1
893,Nimród Antal,Alice Braga,1
894,Robert Stromberg,Angelina Jolie,1
895,Robert Stromberg,Elle Fanning,1
896,Robert Stromberg,Sharlto Copley,1
897,Robert Stromberg,Lesley Manville,1
898,Steven Shainberg,Noomi Rapace,1
899,Steven Shainberg,Michael Chiklis,1
900,Steven Shainberg,Kerry Bishé,1
901,Steven Shainberg,Peter Stormare,1
902,Guillermo del Toro,Ivana Baquero,1
903,Guillermo del Toro,Ariadna Gil,1
904,Guillermo del Toro,Sergi López,1
905,Guillermo del Toro,Maribel Verdú,1
906,Andy Goddard,Patrick Wilson,1
907,Andy Goddard,Jessica Biel,1
908,Andy Goddard,Haley Bennett,1
909,Andy Goddard,Vincent Kartheiser,1
910,Mel Gibson,Gerardo Taracena,1
911,Mel Gibson,Raoul Max Trujillo,1
912,Mel Gibson,Dalia Hernández,1
913,Mel Gibson,Rudy Youngblood,1
914,Christopher McQuarrie,Tom Cruise,2
915,Christopher McQuarrie,Rebecca Ferguson,1
916,Christopher McQuarrie,Jeremy Renner,1
917,Christopher McQuarrie,Simon Pegg,1
918,Cedric Nicolas-Troyan,Chris Hemsworth,1
919,Cedric Nicolas-Troyan,Jessica Chastain,1
920,Cedric Nicolas-Troyan,Charlize Theron,1
921,Cedric Nicolas-Troyan,Emily Blunt,1
922,Stephen Chbosky,Logan Lerman,1
923,Stephen Chbosky,Emma Watson,1
924,Stephen Chbosky,Ezra Miller,1
925,Stephen Chbosky,Paul Rudd,1
926,Pablo Larraín,Natalie Portman,1
927,Pablo Larraín,Peter Sarsgaard,1
928,Pablo Larraín,Greta Gerwig,1
929,Pablo Larraín,Billy Crudup,1
930,D.J. Caruso,Kate Beckinsale,1
931,D.J. Caruso,Mel Raido,1
932,D.J. Caruso,Duncan Joiner,1
933,D.J. Caruso,Lucas Till,1
934,Wes Anderson,Ralph Fiennes,1
935,Wes Anderson,F. Murray Abraham,1
936,Wes Anderson,Mathieu Amalric,1
937,Wes Anderson,Adrien Brody,1
938,Andrew Niccol,Saoirse Ronan,1
939,Andrew Niccol,Max Irons,1
940,Andrew Niccol,Jake Abel,1
941,Andrew Niccol,Diane Kruger,1
942,David Ayer,Brad Pitt,1
943,David Ayer,Shia LaBeouf,1
944,David Ayer,Logan Lerman,1
945,David Ayer,Michael Peña,2
946,Pete Docter,Amy Poehler,1
947,Pete Docter,Bill Hader,1
948,Pete Docter,Lewis Black,1
949,Pete Docter,Mindy Kaling,1
950,Ash Brannon,Luke Wilson,1
951,Ash Brannon,Eddie Izzard,1
952,Ash Brannon,J.K. Simmons,1
953,Ash Brannon,Lewis Black,1
954,Alan Taylor,Arnold Schwarzenegger,1
955,Alan Taylor,Jason Clarke,1
956,Alan Taylor,Emilia Clarke,1
957,Alan Taylor,Jai Courtney,1
958,Chris Columbus,Logan Lerman,1
959,Chris Columbus,Kevin McKidd,1
960,Chris Columbus,Steve Coogan,1
961,Chris Columbus,Brandon T. Jackson,1
962,Tom Hooper,Hugh Jackman,1
963,Tom Hooper,Russell Crowe,1
964,Tom Hooper,Anne Hathaway,1
965,Tom Hooper,Amanda Seyfried,1
966,Alfonso Cuarón,Julianne Moore,1
967,Alfonso Cuarón,Clive Owen,1
968,Alfonso Cuarón,Chiwetel Ejiofor,1
969,Alfonso Cuarón,Michael Caine,1
970,Mike Mills,Annette Bening,1
971,Mike Mills,Elle Fanning,1
972,Mike Mills,Greta Gerwig,1
973,Mike Mills,Billy Crudup,1
974,Paul Feig,Jude Law,1
975,Paul Feig,Jason Statham,1
976,Olivier Nakache,François Cluzet,1
977,Olivier Nakache,Omar Sy,1
978,Olivier Nakache,Anne Le Ny,1
979,Olivier Nakache,Audrey Fleurot,1
980,Eleanor Coppola,Diane Lane,1
981,Eleanor Coppola,Alec Baldwin,1
982,Eleanor Coppola,Arnaud Viard,1
983,Eleanor Coppola,Linda Gegusch,1
984,Yorgos Lanthimos,Christos Stergioglou,1
985,Yorgos Lanthimos,Michele Valley,1
986,Yorgos Lanthimos,Angeliki Papoulia,1
987,Yorgos Lanthimos,Hristos Passalis,1
988,F. Gary Gray,O'Shea Jackson Jr.,1
989,F. Gary Gray,Corey Hawkins,1
990,F. Gary Gray,Jason Mitchell,1
991,F. Gary Gray,Neil Brown Jr.,1
992,Marc Webb,Andrew Garfield,2
993,Marc Webb,Emma Stone,2
994,Marc Webb,Jamie Foxx,1
995,Marc Webb,Paul Giamatti,1
996,James Wan,Ron Livingston,1
997,James Wan,Lili Taylor,1
998,Todd Phillips,Zach Galifianakis,1
999,Todd Phillips,Bradley Cooper,1
1000,Todd Phillips,Justin Bartha,1
1001,Todd Phillips,Ed Helms,1
1002,Peter Berg,Alexander Skarsgård,1
1003,Peter Berg,Brooklyn Decker,1
1004,Peter Berg,Liam Neeson,1
1005,Peter Berg,Rihanna,1
1006,Rupert Wyatt,James Franco,1
1007,Rupert Wyatt,Andy Serkis,1
1008,Rupert Wyatt,Freida Pinto,1
1009,Rupert Wyatt,Karin Konoval,1
1010,David F. Sandberg,Teresa Palmer,1
1011,David F. Sandberg,Gabriel Bateman,1
1012,David F. Sandberg,Maria Bello,1
1013,David F. Sandberg,Billy Burke,1
1014,Joseph Cedar,Richard Gere,1
1015,Joseph Cedar,Lior Ashkenazi,1
1016,Joseph Cedar,Michael Sheen,1
1017,Joseph Cedar,Charlotte Gainsbourg,1
1018,Alejandro González Iñárritu,Michael Keaton,1
1019,Alejandro González Iñárritu,Zach Galifianakis,1
1020,Alejandro González Iñárritu,Edward Norton,1
1021,Alejandro González Iñárritu,Andrea Riseborough,1
1022,Darren Aronofsky,Natalie Portman,1
1023,Darren Aronofsky,Mila Kunis,1
1024,Darren Aronofsky,Vincent Cassel,1
1025,Darren Aronofsky,Winona Ryder,1
1026,Justin Simien,Tyler James Williams,1
1027,Justin Simien,Tessa Thompson,1
1028,Justin Simien,Kyle Gallner,1
1029,Justin Simien,Teyonah Parris,1
1030,Lars von Trier,Charlotte Gainsbourg,4
1031,Lars von Trier,Stellan Skarsgård,2
1032,Lars von Trier,Stacy Martin,1
1033,Lars von Trier,Shia LaBeouf,1
1034,Dave Green,Megan Fox,1
1035,Dave Green,Will Arnett,1
1036,Dave Green,Tyler Perry,1
1037,Dave Green,Laura Linney,1
1038,Eli Roth,Keanu Reeves,1
1039,Eli Roth,Lorenza Izzo,2
1040,Eli Roth,Ana de Armas,1
1041,Eli Roth,Aaron Burns,2
1042,Dan Mazer,Robert De Niro,1
1043,Dan Mazer,Zac Efron,1
1044,Dan Mazer,Zoey Deutch,1
1045,Dan Mazer,Aubrey Plaza,1
1046,Tom Tykwer,Tom Hanks,2
1047,Tom Tykwer,Halle Berry,1
1048,Tom Tykwer,Hugh Grant,1
1049,Tom Tykwer,Hugo Weaving,1
1050,Gavin Hood,Hugh Jackman,1
1051,Gavin Hood,Liev Schreiber,1
1052,Gavin Hood,Ryan Reynolds,1
1053,Gavin Hood,Danny Huston,1
1054,Jeffrey G. Hunt,Sarah Hyland,1
1055,Jeffrey G. Hunt,Steven Krueger,1
1056,Jeffrey G. Hunt,Justin Chon,1
1057,Jeffrey G. Hunt,Clara Mamet,1
1058,Sam Mendes,Javier Bardem,1
1059,Sam Mendes,Naomie Harris,1
1060,Sam Mendes,Judi Dench,1
1061,Peter Jackson,Martin Freeman,3
1062,Peter Jackson,Ian McKellen,3
1063,Peter Jackson,Richard Armitage,3
1064,Peter Jackson,Andy Serkis,1
1065,Phil Lord,Jonah Hill,2
1066,Phil Lord,Channing Tatum,2
1067,Phil Lord,Ice Cube,2
1068,Phil Lord,Brie Larson,1
1069,John Carney,Ferdia Walsh-Peelo,1
1070,John Carney,Aidan Gillen,1
1071,John Carney,Maria Doyle Kennedy,1
1072,John Carney,Jack Reynor,1
1073,Eric Summer,Elle Fanning,1
1074,Eric Summer,Dane DeHaan,1
1075,Eric Summer,Carly Rae Jepsen,1
1076,Eric Summer,Maddie Ziegler,1
1077,Joseph Kosinski,Tom Cruise,1
1078,Joseph Kosinski,Morgan Freeman,1
1079,Joseph Kosinski,Andrea Riseborough,1
1080,Joseph Kosinski,Olga Kurylenko,1
1081,Phil Lord,Nick Offerman,1
1082,David Fincher,Jake Gyllenhaal,1
1083,David Fincher,Robert Downey Jr.,1
1084,David Fincher,Mark Ruffalo,1
1085,David Fincher,Anthony Edwards,1
1086,Richard Linklater,Blake Jenner,1
1087,Richard Linklater,Tyler Hoechlin,1
1088,Richard Linklater,Ryan Guzman,1
1089,Richard Linklater,Zoey Deutch,1
1090,Shane Black,Robert Downey Jr.,1
1091,Shane Black,Guy Pearce,1
1092,Shane Black,Gwyneth Paltrow,1
1093,Shane Black,Don Cheadle,1
1094,Louis Leterrier,Jesse Eisenberg,1
1095,Louis Leterrier,Common,1
1096,Louis Leterrier,Mark Ruffalo,1
1097,Louis Leterrier,Woody Harrelson,1
1098,Guy Ritchie,Robert Downey Jr.,2
1099,Guy Ritchie,Jude Law,2
1100,Guy Ritchie,Rachel McAdams,2
1101,Guy Ritchie,Mark Strong,1
1102,Quentin Tarantino,Zoë Bell,1
1103,Quentin Tarantino,Rosario Dawson,1
1104,Quentin Tarantino,Vanessa Ferlito,1
1105,Tom Hooper,Eddie Redmayne,1
1106,Tom Hooper,Alicia Vikander,1
1107,Tom Hooper,Amber Heard,1
1108,Tom Hooper,Ben Whishaw,1
1109,Brett Ratner,Dwayne Johnson,1
1110,Brett Ratner,John Hurt,1
1111,Brett Ratner,Ian McShane,1
1112,Brett Ratner,Joseph Fiennes,1
1113,Zack Snyder,Emily Browning,1
1114,Zack Snyder,Vanessa Hudgens,1
1115,Zack Snyder,Abbie Cornish,1
1116,Zack Snyder,Jena Malone,1
1117,Greg Mottola,Zach Galifianakis,1
1118,Greg Mottola,Isla Fisher,1
1119,Greg Mottola,Jon Hamm,1
1120,Greg Mottola,Gal Gadot,1
1121,Lana Wachowski,Channing Tatum,1
1122,Lana Wachowski,Mila Kunis,1
1123,Lana Wachowski,Eddie Redmayne,1
1124,Lana Wachowski,Sean Bean,1
1125,Jared Hess,Zach Galifianakis,1
1126,Jared Hess,Kristen Wiig,1
1127,Jared Hess,Owen Wilson,1
1128,Jared Hess,Ross Kimball,1
1129,Jalil Lespert,Romain Duris,1
1130,Jalil Lespert,Charlotte Le Bon,1
1131,Jalil Lespert,Jalil Lespert,1
1132,Jalil Lespert,Camille Cottin,1
1133,Sang-ho Yeon,Yoo Gong,1
1134,Sang-ho Yeon,Soo-an Kim,1
1135,Sang-ho Yeon,Yu-mi Jung,1
1136,Sang-ho Yeon,Dong-seok Ma,1
1137,Jason Moore,Anna Kendrick,1
1138,Jason Moore,Brittany Snow,1
1139,Jason Moore,Rebel Wilson,1
1140,Jason Moore,Anna Camp,1
1141,Nicholas Stoller,Seth Rogen,2
1142,Nicholas Stoller,Rose Byrne,2
1143,Nicholas Stoller,Zac Efron,2
1144,Nicholas Stoller,Chloë Grace Moretz,1
1145,David Leveaux,Lily James,1
1146,David Leveaux,Jai Courtney,1
1147,David Leveaux,Christopher Plummer,1
1148,David Leveaux,Loïs van Wijk,1
1149,Zack Snyder,Michael Shannon,1
1150,Zack Snyder,Diane Lane,1
1151,Ross Katz,Benjamin Walker,1
1152,Ross Katz,Teresa Palmer,1
1153,Ross Katz,Alexandra Daddario,1
1154,Ross Katz,Maggie Grace,1
1155,Mike Thurmeier,Ray Romano,1
1156,Mike Thurmeier,Denis Leary,1
1157,Mike Thurmeier,John Leguizamo,1
1158,Mike Thurmeier,Chris Wedge,1
1159,David Frankel,Anne Hathaway,1
1160,David Frankel,Meryl Streep,1
1161,David Frankel,Adrian Grenier,1
1162,David Frankel,Emily Blunt,1
1163,Brad Furman,Bryan Cranston,1
1164,Brad Furman,John Leguizamo,1
1165,Brad Furman,Diane Kruger,1
1166,Brad Furman,Amy Ryan,1
1167,Paul Thomas Anderson,Daniel Day-Lewis,1
1168,Paul Thomas Anderson,Paul Dano,1
1169,Paul Thomas Anderson,Ciarán Hinds,1
1170,Paul Thomas Anderson,Martin Stringer,1
1171,Antoine Fuqua,Marton Csokas,1
1172,Antoine Fuqua,Chloë Grace Moretz,1
1173,Antoine Fuqua,David Harbour,1
1174,Peter Berg,Taylor Kitsch,1
1175,Peter Berg,Emile Hirsch,1
1176,Peter Berg,Ben Foster,1
1177,Drew Goddard,Kristen Connolly,1
1178,Drew Goddard,Chris Hemsworth,1
1179,Drew Goddard,Anna Hutchison,1
1180,Drew Goddard,Fran Kranz,1
1181,Fred Wolf,Anna Faris,1
1182,Fred Wolf,Colin Hanks,1
1183,Fred Wolf,Emma Stone,1
1184,Fred Wolf,Kat Dennings,1
1185,Jim Field Smith,Jay Baruchel,1
1186,Jim Field Smith,Alice Eve,1
1187,Jim Field Smith,T.J. Miller,1
1188,Jim Field Smith,Mike Vogel,1
1189,Paul Thomas Anderson,Joaquin Phoenix,2
1190,Paul Thomas Anderson,Josh Brolin,1
1191,Paul Thomas Anderson,Owen Wilson,1
1192,Paul Thomas Anderson,Katherine Waterston,1
1193,James Bobin,Mia Wasikowska,1
1194,James Bobin,Johnny Depp,1
1195,James Bobin,Helena Bonham Carter,1
1196,James Bobin,Anne Hathaway,1
1197,Gary Michael Schultz,Emile Hirsch,1
1198,Gary Michael Schultz,Zoë Kravitz,1
1199,Gary Michael Schultz,Zoey Deutch,1
1200,Gary Michael Schultz,Emory Cohen,1
1201,Justin Lin,Lucas Black,1
1202,Justin Lin,Zachery Ty Bryan,1
1203,Justin Lin,Shad Moss,1
1204,Justin Lin,Damien Marzette,1
1205,Christian Ditter,Dakota Johnson,1
1206,Christian Ditter,Rebel Wilson,1
1207,Christian Ditter,Leslie Mann,1
1208,Christian Ditter,Alison Brie,1
1209,John Lee Hancock,Quinton Aaron,1
1210,John Lee Hancock,Sandra Bullock,1
1211,John Lee Hancock,Tim McGraw,1
1212,John Lee Hancock,Jae Head,1
1213,Abdellatif Kechiche,Léa Seydoux,1
1214,Abdellatif Kechiche,Adèle Exarchopoulos,1
1215,Abdellatif Kechiche,Salim Kechiouche,1
1216,Abdellatif Kechiche,Aurélien Recoing,1
1217,Jennifer Kent,Essie Davis,1
1218,Jennifer Kent,Noah Wiseman,1
1219,Jennifer Kent,Daniel Henshall,1
1220,Jennifer Kent,Hayley McElhinney,1
1221,Peter Jackson,Cate Blanchett,1
1222,David Yates,Brendan Gleeson,1
1223,Bong Joon Ho,Chris Evans,1
1224,Bong Joon Ho,Jamie Bell,1
1225,Bong Joon Ho,Tilda Swinton,1
1226,Bong Joon Ho,Ed Harris,1
1227,J Blakeson,Chloë Grace Moretz,1
1228,J Blakeson,Matthew Zuk,1
1229,J Blakeson,Gabriela Lopez,1
1230,J Blakeson,Bailey Anne Borders,1
1231,Dan Berk,Connor Paolo,1
1232,Dan Berk,Nick Damici,1
1233,Dan Berk,Laura Abramsen,1
1234,Dan Berk,A.C. Peterson,1
1235,M. Night Shyamalan,Olivia DeJonge,1
1236,M. Night Shyamalan,Ed Oxenbould,1
1237,M. Night Shyamalan,Deanna Dunagan,1
1238,M. Night Shyamalan,Peter McRobbie,1
1239,Justin Lin,Jordana Brewster,2
1240,Anne Fletcher,Channing Tatum,1
1241,Anne Fletcher,Jenna Dewan Tatum,1
1242,Anne Fletcher,Damaine Radcliff,1
1243,Anne Fletcher,De'Shawn Washington,1
1244,So Yong Kim,Riley Keough,1
1245,So Yong Kim,Jena Malone,1
1246,So Yong Kim,Jessie Ok Gray,1
1247,So Yong Kim,Cary Joji Fukunaga,1
1248,Guy Ritchie,Gerard Butler,1
1249,Guy Ritchie,Tom Wilkinson,1
1250,Guy Ritchie,Idris Elba,1
1251,Guy Ritchie,Thandie Newton,1
1252,Andrew Niccol,Justin Timberlake,1
1253,Andrew Niccol,Amanda Seyfried,1
1254,Andrew Niccol,Cillian Murphy,1
1255,Andrew Niccol,Olivia Wilde,1
1256,David Fincher,Jesse Eisenberg,1
1257,David Fincher,Andrew Garfield,1
1258,David Fincher,Justin Timberlake,1
1259,Breck Eisner,Vin Diesel,1
1260,Breck Eisner,Rose Leslie,1
1261,Breck Eisner,Elijah Wood,1
1262,Breck Eisner,Ólafur Darri Ólafsson,1
1263,Paul McGuigan,Daniel Radcliffe,1
1264,Paul McGuigan,James McAvoy,1
1265,Paul McGuigan,Jessica Brown Findlay,1
1266,Paul McGuigan,Andrew Scott,1
1267,Roger Spottiswoode,Luke Treadaway,1
1268,Roger Spottiswoode,Bob the Cat,1
1269,Roger Spottiswoode,Ruta Gedmintas,1
1270,Roger Spottiswoode,Joanne Froggatt,1
1271,Jeremy Saulnier,Anton Yelchin,1
1272,Jeremy Saulnier,Imogen Poots,1
1273,Jeremy Saulnier,Alia Shawkat,1
1274,Jeremy Saulnier,Patrick Stewart,1
1275,Michael Mann,Chris Hemsworth,1
1276,Michael Mann,Viola Davis,1
1277,Michael Mann,Wei Tang,1
1278,Michael Mann,Leehom Wang,1
1279,Nicholas Stoller,Andy Samberg,1
1280,Nicholas Stoller,Katie Crown,1
1281,Nicholas Stoller,Kelsey Grammer,1
1282,Nicholas Stoller,Jennifer Aniston,1
1283,Clint Eastwood,Bradley Cooper,1
1284,Clint Eastwood,Sienna Miller,1
1285,Clint Eastwood,Kyle Gallner,1
1286,Clint Eastwood,Cole Konis,1
1287,Jean-Marc Vallée,Matthew McConaughey,1
1288,Jean-Marc Vallée,Jennifer Garner,1
1289,Jean-Marc Vallée,Jared Leto,1
1290,Jean-Marc Vallée,Steve Zahn,1
