,Director,Average Rating,Major Genre
219,Matthew Vaughn,7.7125,Action
220,Ilya Naishuller,6.7,Action
221,John Lasseter,6.65,Animation
222,David Robert Mitchell,6.9,Horror
223,David Fincher,7.78125,Crime
224,Rawson Marshall Thurber,6.65,Comedy
225,Andrea Arnold,7.0,Drama
226,Yorgos Lanthimos,7.199999999999999,Comedy
227,Nimród Antal,6.4,Action
228,Robert Stromberg,7.0,Action
229,Steven Shainberg,4.8,Horror
230,Guillermo del Toro,7.25,Drama
231,Andy Goddard,5.2,Crime
232,Mel Gibson,8.0,Action
233,Christopher McQuarrie,7.2,Action
234,Cedric Nicolas-Troyan,6.1,Action
235,Stephen Chbosky,8.0,Drama
236,Pablo Larraín,6.8,Biography
237,D.J. Caruso,6.35,Drama
238,Wes Anderson,7.875,Adventure
239,Andrew Niccol,6.300000000000001,Action
240,David Ayer,7.300000000000001,Action
241,Pete Docter,8.25,Animation
242,Ash Brannon,5.8,Animation
243,Alan Taylor,6.75,Action
244,Chris Columbus,5.75,Adventure
245,Tom Hooper,7.65,Drama
246,Alfonso Cuarón,7.85,Drama
247,Mike Mills,7.4,Comedy
248,Paul Feig,6.5874999999999995,Action
249,Olivier Nakache,8.6,Biography
250,Eleanor Coppola,4.9,Comedy
251,Yorgos Lanthimos,7.199999999999999,Drama
252,F. Gary Gray,7.65,Biography
253,Marc Webb,7.275,Action
254,James Wan,7.1,Horror
255,Todd Phillips,7.449999999999999,Comedy
256,Peter Berg,6.7125,Action
257,Rupert Wyatt,6.8,Action
258,David F. Sandberg,6.4,Horror
259,Joseph Cedar,7.1,Drama
260,Alejandro González Iñárritu,7.7,Comedy
261,Darren Aronofsky,7.1,Drama
262,Justin Simien,6.2,Comedy
263,Lars von Trier,6.925,Drama
264,Dave Green,6.0,Action
265,Eli Roth,5.325,Drama
266,Dan Mazer,6.0,Comedy
267,Tom Tykwer,7.15,Drama
268,Gavin Hood,6.85,Action
269,Jeffrey G. Hunt,3.7,Horror
270,Sam Mendes,7.3,Action
271,Peter Jackson,7.237500000000001,Adventure
272,Phil Lord,7.475,Action
273,John Carney,7.7,Comedy
274,Eric Summer,6.8,Animation
275,Joseph Kosinski,6.9,Action
276,Phil Lord,7.475,Action
277,David Fincher,7.78125,Crime
278,Richard Linklater,7.45,Comedy
279,Shane Black,7.300000000000001,Action
280,Louis Leterrier,6.3125,Crime
281,Guy Ritchie,7.4375,Action
282,Quentin Tarantino,7.6625000000000005,Thriller
283,Tom Hooper,7.65,Biography
284,Brett Ratner,6.35,Action
285,Zack Snyder,6.925,Action
286,Greg Mottola,6.85,Action
287,Lana Wachowski,5.3,Action
288,Jared Hess,5.8,Action
289,Jalil Lespert,6.1,Thriller
290,Sang-ho Yeon,7.5,Action
291,Jason Moore,6.6,Comedy
292,Nicholas Stoller,6.575,Comedy
293,David Leveaux,7.7,Drama
294,Zack Snyder,6.925,Action
295,Ross Katz,6.6,Drama
296,Mike Thurmeier,5.7,Animation
297,David Frankel,6.8,Comedy
298,Brad Furman,7.1,Biography
299,Paul Thomas Anderson,7.25,Drama
300,Antoine Fuqua,7.03125,Action
301,Peter Berg,6.7125,Action
302,Drew Goddard,7.0,Horror
303,Fred Wolf,5.5,Comedy
304,Jim Field Smith,6.4,Comedy
305,Paul Thomas Anderson,7.25,Comedy
306,James Bobin,6.2,Adventure
307,Gary Michael Schultz,5.5,Crime
308,Justin Lin,6.762499999999999,Action
309,Christian Ditter,6.65,Comedy
310,John Lee Hancock,7.475,Biography
311,Abdellatif Kechiche,7.8,Drama
